Threshold,Precision,Recall,F1-Score,F-beta (beta=0.5),N_Predicted_Positive
0.05,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.06,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.07,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.08,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.09,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.1,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.11,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.12,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.13,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.14,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.15,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.16,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.17,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.18,0.2,1.0,0.3333333333333333,0.23809523809523808,8000
0.19,0.19984992496248125,0.99875,0.3330554397665694,0.23791090995712244,7996
0.2,0.19992493431752784,0.99875,0.3331595955384134,0.2379959490051233,7993
0.21,0.19994994994994994,0.99875,0.33319432860717263,0.23802430886558626,7992
0.22,0.19997495617330327,0.998125,0.33319424160233674,0.23804555211066064,7986
0.23,0.19952345121645348,0.994375,0.3323584708585753,0.23749104370671123,7974
0.24,0.19957243460764587,0.991875,0.332286432160804,0.23751795977011492,7952
0.25,0.1992931970213303,0.986875,0.3316181875459414,0.23714405863270457,7923
0.26,0.1991128010139417,0.981875,0.3310853530031612,0.23688178528347406,7890
0.27,0.19954128440366972,0.97875,0.3314987298899238,0.23733026188166828,7848
0.28,0.19889431730521986,0.966875,0.32992109191725316,0.23645756908779655,7778
0.29,0.1994032174364297,0.960625,0.33025354533734425,0.23695732609768133,7708
0.3,0.19973770491803278,0.951875,0.33018970189701896,0.23722741433021804,7625
0.31,0.2000265992818194,0.94,0.3298607303432394,0.2374037125899735,7519
0.32,0.19967620075553158,0.925,0.328450954283178,0.2368151561699949,7412
0.33,0.19994488080474024,0.906875,0.3276504459749351,0.23687475512602849,7257
0.34,0.20045140358301594,0.888125,0.32708021636551965,0.2371811990920016,7089
0.35,0.20122039808223158,0.865625,0.326535423788754,0.23771110805986542,6883
0.36,0.20068841664172404,0.838125,0.3238348225066409,0.23669161253883084,6682
0.37,0.1995395241749808,0.8125,0.3203943314849045,0.23499638467100503,6515
0.38,0.20018975332068312,0.79125,0.31953558808682486,0.23535098155859607,6324
0.39,0.19937847562970232,0.761875,0.3160487425460202,0.2339192508443353,6114
0.4,0.19938806731259562,0.733125,0.31351062408125085,0.23336781792137518,5883
0.41,0.20007101011894196,0.704375,0.3116272639292133,0.233507376098127,5633
0.42,0.202046511627907,0.67875,0.3113978494623656,0.2350649350649351,5375
0.43,0.20307932176963556,0.65125,0.3096122418659932,0.2354908696438257,5131
0.44,0.20278859954890302,0.618125,0.30538829705110393,0.2342713663066136,4877
0.45,0.20569070373588183,0.591875,0.3052869116698904,0.23656075139888086,4604
0.46,0.20592967133992185,0.56,0.30112586119979834,0.23573984424331723,4351
0.47,0.2067284251584593,0.53,0.29743949491406524,0.23545091070635277,4102
0.48,0.20647350561211172,0.494375,0.2912907383538943,0.2336917986291657,3831
0.49,0.2092247846624062,0.470625,0.2896710905943451,0.2353713428357089,3599
0.5,0.20985787723011792,0.43375,0.2828612186672101,0.23401672511464797,3307
0.51,0.2074716477651768,0.38875,0.27055241409308395,0.22881106533254855,2998
0.52,0.20786933927245732,0.35,0.2608290638099674,0.22624434389140274,2694
0.53,0.2092436974789916,0.31125,0.25025125628140704,0.2239208633093525,2380
0.54,0.20364159080019167,0.265625,0.23053973420124763,0.21361077603538398,2087
0.55,0.20578420467185762,0.23125,0.2177751618599176,0.21041856232939035,1798
0.56,0.2034364261168385,0.185,0.19378068739770868,0.19946091644204852,1455
0.57,0.20614035087719298,0.146875,0.17153284671532848,0.19074675324675325,1140
0.58,0.20076726342711,0.098125,0.13182199832073888,0.16603214890016924,782
0.59,0.18958333333333333,0.056875,0.0875,0.12926136363636362,480
0.6,0.19130434782608696,0.0275,0.048087431693989074,0.08730158730158731,230
0.61,0.25,0.00875,0.016908212560386472,0.03837719298245614,56
0.62,0.0,0.0,0.0,0.0,3
0.63,0.0,0.0,0.0,0.0,0
0.64,0.0,0.0,0.0,0.0,0
0.65,0.0,0.0,0.0,0.0,0
0.66,0.0,0.0,0.0,0.0,0
0.67,0.0,0.0,0.0,0.0,0
0.68,0.0,0.0,0.0,0.0,0
0.69,0.0,0.0,0.0,0.0,0
0.7,0.0,0.0,0.0,0.0,0
0.71,0.0,0.0,0.0,0.0,0
0.72,0.0,0.0,0.0,0.0,0
0.73,0.0,0.0,0.0,0.0,0
0.74,0.0,0.0,0.0,0.0,0
0.75,0.0,0.0,0.0,0.0,0
0.76,0.0,0.0,0.0,0.0,0
0.77,0.0,0.0,0.0,0.0,0
0.78,0.0,0.0,0.0,0.0,0
0.79,0.0,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0.0,0
0.81,0.0,0.0,0.0,0.0,0
0.82,0.0,0.0,0.0,0.0,0
0.83,0.0,0.0,0.0,0.0,0
0.84,0.0,0.0,0.0,0.0,0
0.85,0.0,0.0,0.0,0.0,0
0.86,0.0,0.0,0.0,0.0,0
0.87,0.0,0.0,0.0,0.0,0
0.88,0.0,0.0,0.0,0.0,0
0.89,0.0,0.0,0.0,0.0,0
